unit_type_id,property_id,name,created_at,updated_at,deleted_at
343,PR0247,Type 2,2021-12-09 06:52,2021-12-09 06:52,
344,PR0201,Type 1,2021-12-09 06:52,2021-12-09 06:52,
345,PR0201,Type 2,2021-12-09 06:52,2021-12-09 06:52,
346,PR0150,Type 1,2021-12-09 06:52,2021-12-09 06:52,
347,PR0150,Type 2,2021-12-09 06:52,2021-12-09 06:52,
348,PR0150,Type 3,2021-12-09 06:52,2021-12-09 06:52,
349,PR0299,Type 1,2021-12-09 06:52,2021-12-09 06:52,
350,PR0299,Type 2,2021-12-09 06:52,2021-12-09 06:52,
351,PR0299,Type 3,2021-12-09 06:52,2021-12-09 06:52,
352,PR0299,Type 4,2021-12-09 06:52,2021-12-09 06:52,
353,PR0248,Type 1,2021-12-09 06:52,2021-12-09 06:52,
354,PR0202,Type 1,2021-12-09 06:52,2021-12-09 06:52,
355,PR0151,Type 1,2021-12-09 06:52,2021-12-09 06:52,
356,PR0300,Type 1,2021-12-09 06:52,2021-12-09 06:52,
357,PR0300,Type 2,2021-12-09 06:52,2021-12-09 06:52,
358,PR0300,Type 3,2021-12-09 06:53,2021-12-09 06:53,
359,PR0300,Type 4,2021-12-09 06:53,2021-12-09 06:53,
360,PR0249,Type 1,2021-12-09 06:53,2021-12-09 06:53,
361,PR0249,Type 2,2021-12-09 06:53,2021-12-09 06:53,
362,PR0249,Type 3,2021-12-09 06:53,2021-12-09 06:53,
363,PR0249,Type 4,2021-12-09 06:53,2021-12-09 06:53,
364,PR0203,Type 1,2021-12-09 06:53,2021-12-09 06:53,
365,PR0203,Type 2,2021-12-09 06:53,2021-12-09 06:53,
366,PR0203,Type 3,2021-12-09 06:53,2021-12-09 06:53,
367,PR0153,Type 1,2021-12-09 06:53,2021-12-09 06:53,
368,PR0301,Type 1,2021-12-09 06:53,2021-12-09 06:53,
369,PR0301,Type 2,2021-12-09 06:53,2021-12-09 06:53,
370,PR0301,Type 3,2021-12-09 06:53,2021-12-09 06:53,
371,PR0301,Type 4,2021-12-09 06:53,2021-12-09 06:53,
372,PR0250,Type 1,2021-12-09 06:53,2021-12-09 06:53,
373,PR0250,Type 2,2021-12-09 06:53,2021-12-09 06:53,
374,PR0204,Type 1,2021-12-09 06:53,2021-12-09 06:53,
375,PR0204,Type 2,2021-12-09 06:53,2021-12-09 06:53,
376,PR0155,Type 1,2021-12-09 06:53,2021-12-09 06:53,
